	LDA 10 topics
0	['r', '好看', '垃圾', '每天', '身材', '前任', '评价', '基本', '失业', '刷', '汉服', '指纹', '看不到', '出门', '一眼', '花', '态度', '删除', '懦弱', '完美', '也许', '正确', '块钱', '站', '现实', '早上', '脸', '好不好', '嘴里', '瞒']
1	['博士', '提供', '菩萨', '攻击', '学历', '第一条', '信息', '到手', '高', '外貌', '不算', '打断', '讲真', '鄙视', '一线', '六七千', '教师', '表达', '不够', '经验', '发泄', '英语', '不满', '黑', '单纯', '小孩', '扶贫', '证明', '消化', '下定决心']
2	['屏蔽', '照片', '越', '语气', '访谈', '伴侣', '解释', '尽量', '我哥', '赚钱', '攒钱', '本位', '一段', '使用', '依赖', '回复', '妈妈', '情商', '加油', '提高', '心情', '拍照', '乱花钱', '窒息', '正常人', '评论', '改不了', '全是', '就行了', '两种']
3	['住在一起', '打电话', '外地', '立刻', '减少', '自由职业', '视频', '关心', '挂断', '我爸', '千万', '过年', '看书', '讲道理', '不聊', '公务员', '马上', '拒绝', '住', '两天', '少', '中午', 'bb', '找个', '反驳', '希望', '#', '考试', '我能', '爹妈']
4	['一方', '弱势', '穷', '绿', '改', '拜金', '图', '天天', '讲', '符合', '自卑', '信任', '怕痒', '说明', '心意', '拼命', '谈', '处处', '信', '多次', '思考', '做事', '想着', '受', '挑', '撤退', '检查', '亲密关系', '上学', 'u200d']
5	['做好', '生日', '五百', '包括', '笑', '建议', '离婚', '失望', '零花钱', '送', '确定', '找个', '这是', '窒息', '受气', '选', '妥协', '心理学', '去年', '日子', '高中', '出去', '过得', '实现', '学历', '劳动保险', '不仅仅', '吼', '懒', '换个']
6	['女孩子', '辱骂', '多次', '处女', '自杀', '不放过', '欺骗', '人格', '型', '症', '冷血', '受害者', '套路', '资源', '身体', '威胁', '曝光', '歹毒', '广州', '男肖', '无良', '欧辰', '撩', '毫无', '强奸', '骗财骗色', '三观', '寝室', '名牌', '日常']
7	['胖', '已婚', '道歉', '对象', '夸', '第一', '斤', '从来不', '课', '160', '示好', '屁事', '离婚', '天天', '厉害', '英语', '傻', '😭', '缺点', '占', '电影', '瘦', '优点', '狗', '反馈', '身子', '指责', '去年', '不理', '100']
8	['广告', '「', '」', '我爸', '写', '下班', '相处', '单位', '肯定', '吃', '出去', '带我去', '椰汁', '第二天', '接', '部门', '事儿', '是否', '期间', '女孩', '对象', '我俩', '摸', '开车', '客户', '反正', '电视广告', '双十', '多多', '鬼鬼祟祟']
9	['—', '科长', '财务科', '喝酒', '辞职', '单位', '马上', 'a', '叔叔', '晚上', 'b', '领导', '财务', '业务', '谈话', '科室', '突然', '加班', '喝', '喊', '酒局', '疫苗', '副科长', '想到', '最后', '疫情', '普通', '标准', '太差', '当初']
